Sample	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
ATAC_D0_repl_2_HDACi_S37	0.570817	86.87	39853628.0						
ATAC_D0_repl_2_HDACi_S37_R1_001				64.44944830099931	48.0	50.0	18.181818181818183	45895526.0	
ATAC_D0_repl_2_HDACi_S37_R2_001				64.46253896899634	48.0	50.0	18.181818181818183	45895526.0	2.4870494348403374
ATAC_D0_repl_2_HDACi_S37_trimmed_R1_001				63.93810524541823	48.0	48.77603418702068	18.181818181818183	45875890.0	
ATAC_D0_repl_2_HDACi_S37_trimmed_R2_001				64.04675692415896	48.0	48.7786542996768	18.181818181818183	45875890.0	
ATAC_D0_repl_2_LSD1i_S38	0.556327	87.44	44262005.0						
ATAC_D0_repl_2_LSD1i_S38_R1_001				62.999104860126316	48.0	50.0	9.090909090909092	50645716.0	
ATAC_D0_repl_2_LSD1i_S38_R2_001				62.238931391387744	48.0	50.0	9.090909090909092	50645716.0	2.2103073634105597
ATAC_D0_repl_2_LSD1i_S38_trimmed_R1_001				62.49383606490511	48.0	48.92228996052342	9.090909090909092	50620139.0	
ATAC_D0_repl_2_LSD1i_S38_trimmed_R2_001				61.633102243614445	48.0	48.91681318773147	18.181818181818183	50620139.0	
ATAC_D0_repl_2_no_tx_S39	0.547259	87.12	45592516.0						
ATAC_D0_repl_2_no_tx_S39_R1_001				61.35868150897485	48.0	50.0	18.181818181818183	52351845.0	
ATAC_D0_repl_2_no_tx_S39_R2_001				60.51935061354421	48.0	50.0	18.181818181818183	52351845.0	2.1148797716680283
ATAC_D0_repl_2_no_tx_S39_trimmed_R1_001				60.838539774338415	48.0	48.96430548786241	18.181818181818183	52331742.0	
ATAC_D0_repl_2_no_tx_S39_trimmed_R2_001				59.967993182126285	48.0	48.95841686294334	18.181818181818183	52331742.0	
ATAC_D8_repl_2_HDACi_S40	0.286813	86.89	40455355.0						
ATAC_D8_repl_2_HDACi_S40_R1_001				30.52319247627554	49.0	50.0	9.090909090909092	46568606.0	
ATAC_D8_repl_2_HDACi_S40_R2_001				30.23607771269191	49.0	50.0	9.090909090909092	46568606.0	2.545861411441004
ATAC_D8_repl_2_HDACi_S40_trimmed_R1_001				29.950486635884005	49.0	48.73675998634647	9.090909090909092	46560847.0	
ATAC_D8_repl_2_HDACi_S40_trimmed_R2_001				29.665436215873925	49.0	48.7336185701261	9.090909090909092	46560847.0	
ATAC_D8_repl_2_LSD1i_S41	0.388057	86.64	44377990.0						
ATAC_D8_repl_2_LSD1i_S41_R1_001				40.86950880336608	48.0	50.0	9.090909090909092	51233083.0	
ATAC_D8_repl_2_LSD1i_S41_R2_001				40.392626679458076	48.0	50.0	9.090909090909092	51233083.0	2.2878855836179133
ATAC_D8_repl_2_LSD1i_S41_trimmed_R1_001				40.111823059653176	48.0	48.8725244683401	9.090909090909092	51219351.0	
ATAC_D8_repl_2_LSD1i_S41_trimmed_R2_001				39.593815108696425	48.0	48.865786741421225	9.090909090909092	51219351.0	
ATAC_D8_repl_2_no_tx_S42	0.398606	87.85	40366895.0						
ATAC_D8_repl_2_no_tx_S42_R1_001				45.955951052889965	50.0	50.0	9.090909090909092	45954744.0	
ATAC_D8_repl_2_no_tx_S42_R2_001				46.360070086639496	51.0	50.0	9.090909090909092	45954744.0	1.9796224520367254
ATAC_D8_repl_2_no_tx_S42_trimmed_R1_001				45.042897996291856	51.0	49.01372470074417	9.090909090909092	45948980.0	
ATAC_D8_repl_2_no_tx_S42_trimmed_R2_001				45.82363096875799	51.0	49.01894886458851	9.090909090909092	45948980.0	
